Year-Month,Hotel_room_occupancy_rate(%)
Jan-02,82
Feb-02,75
Mar-02,87
Apr-02,87
May-02,83
Jun-02,79
Jul-02,82
Aug-02,86
Sep-02,82
Oct-02,85
Nov-02,93
Dec-02,89
Jan-03,82
Feb-03,82
Mar-03,79
Apr-03,22
May-03,17
Jun-03,34
Jul-03,71
Aug-03,88
Sep-03,82
Oct-03,85
Nov-03,93
Dec-03,88
Jan-04,78
Feb-04,81
Mar-04,95
Apr-04,86
May-04,84
Jun-04,86
Jul-04,93
Aug-04,91
Sep-04,85
Oct-04,89
Nov-04,96
Dec-04,91
Jan-05,88
Feb-05,78
Mar-05,86
Apr-05,86
May-05,80
Jun-05,83
Jul-05,88
Aug-05,86
Sep-05,82
Oct-05,88
Nov-05,95
Dec-05,90
Jan-06,85
Feb-06,87
Mar-06,91
Apr-06,86
May-06,82
Jun-06,84
Jul-06,88
Aug-06,89
Sep-06,82
Oct-06,85
Nov-06,90
Dec-06,90
Jan-07,85
Feb-07,80
Mar-07,89
Apr-07,82
May-07,81
Jun-07,82
Jul-07,90
Aug-07,91
Sep-07,81
Oct-07,89
Nov-07,93
Dec-07,93
Jan-08,87
Feb-08,80
Mar-08,86
Apr-08,85
May-08,81
Jun-08,81
Jul-08,89
Aug-08,85
Sep-08,79
Oct-08,85
Nov-08,88
Dec-08,90
Jan-09,79
Feb-09,76
Mar-09,82
Apr-09,79
May-09,64
Jun-09,61
Jul-09,71
Aug-09,82
Sep-09,76
Oct-09,84
Nov-09,89
Dec-09,90
Jan-10,87
Feb-10,79
Mar-10,88
Apr-10,86
May-10,84
Jun-10,82
Jul-10,88
Aug-10,88
Sep-10,82
Oct-10,89
Nov-10,93
Dec-10,93
Jan-11,87
Feb-11,85
Mar-11,91
Apr-11,88
May-11,88
Jun-11,87
Jul-11,93
Aug-11,92
Sep-11,84
Oct-11,89
Nov-11,94
Dec-11,93
Jan-12,85
Feb-12,88
Mar-12,89
Apr-12,89
May-12,86
Jun-12,89
Jul-12,93
Aug-12,94
Sep-12,83
Oct-12,88
Nov-12,94
Dec-12,92
Jan-13,87
Feb-13,84
Mar-13,90
Apr-13,89
May-13,85
Jun-13,89
Jul-13,91
Aug-13,93
Sep-13,86
Oct-13,87
Nov-13,92
Dec-13,92
Jan-14,88
Feb-14,91
Mar-14,93
Apr-14,89
May-14,88
Jun-14,89
Jul-14,92
Aug-14,93
Sep-14,85
Oct-14,88
Nov-14,90
Dec-14,91
Jan-15,87
Feb-15,86
Mar-15,84
Apr-15,85
May-15,83
Jun-15,83
Jul-15,85
Aug-15,91
Sep-15,83
Oct-15,90
Nov-15,91
Dec-15,89
Jan-16,86
Feb-16,78
Mar-16,84
Apr-16,88
May-16,82
Jun-16,84
Jul-16,88
Aug-16,90
Sep-16,87
Oct-16,91
Nov-16,93
Dec-16,92
Jan-17,87
Feb-17,87
Mar-17,90
Apr-17,89
May-17,84
Jun-17,87
Jul-17,90
Aug-17,91
Sep-17,87
Oct-17,92
Nov-17,95
Dec-17,92
Jan-18,92
Feb-18,90
Mar-18,93
Apr-18,92
May-18,88
Jun-18,90
Jul-18,91
Aug-18,94
Sep-18,86
Oct-18,92
Nov-18,95
Dec-18,94
Jan-19,92
Feb-19,91
Mar-19,92
Apr-19,89
May-19,88
Jun-19,87
Jul-19,86
Aug-19,66
Sep-19,63
Oct-19,68
Nov-19,66
Dec-19,61
Jan-20,59
Feb-20,29
Mar-20,32
Apr-20,34
May-20,37
Jun-20,44
Jul-20,49
Aug-20,50
Sep-20,52
Oct-20,55
Nov-20,54
Dec-20,58
Jan-21,51
Feb-21,52
Mar-21,52
Apr-21,57
May-21,58
Jun-21,64
Jul-21,67
Aug-21,71
Sep-21,71
Oct-21,71
Nov-21,70
Dec-21,72
Jan-22,57
Feb-22,55
Mar-22,59
Apr-22,65
May-22,70
Jun-22,75
Jul-22,75
Aug-22,72
Sep-22,67
Oct-22,59
Nov-22,66
Dec-22,72
Jan-23,66
Feb-23,78
Mar-23,84
Apr-23,86
May-23,82
Jun-23,82
Jul-23,87
Aug-23,87
Sep-23,78
Oct-23,83
Nov-23,87
Dec-23,87
Jan-24,85