Time,Number of Visitor Arrivals
Jan-02,1180540.00
Feb-02,1115853.00
Mar-02,1297219.00
Apr-02,1403041.00
May-02,1332248.00
Jun-02,1174202.00
Jul-02,1368693.00
Aug-02,1501078.00
Sep-02,1370279.00
Oct-02,1584563.00
Nov-02,1570192.00
Dec-02,1668474.00
Jan-03,1545978.00
Feb-03,1408139.00
Mar-03,1347386.00
Apr-03,493666.00
May-03,427254.00
Jun-03,725236.00
Jul-03,1291828.00
Aug-03,1644878.00
Sep-03,1478699.00
Oct-03,1695633.00
Nov-03,1685444.00
Dec-03,1792698.00
Jan-04,1748388.00
Feb-04,1454486.00
Mar-04,1732326.00
Apr-04,1736496.00
May-04,1694392.00
Jun-04,1646530.00
Jul-04,1990705.00
Aug-04,2066469.00
Sep-04,1688300.00
Oct-04,2015420.00
Nov-04,1951991.00
Dec-04,2085127.00
Jan-05,1893078.00
Feb-05,1745133.00
Mar-05,1831699.00
Apr-05,1943470.00
May-05,1821923.00
Jun-05,1742745.00
Jul-05,2067240.00
Aug-05,2120635.00
Sep-05,1787728.00
Oct-05,2145335.00
Nov-05,2061493.00
Dec-05,2198938.00
Jan-06,2188816.00
Feb-06,1934666.00
Mar-06,2102768.00
Apr-06,2127254.00
May-06,1955615.00
Jun-06,1888126.00
Jul-06,2185610.00
Aug-06,2358932.00
Sep-06,1830189.00
Oct-06,2194130.00
Nov-06,2081772.00
Dec-06,2403246.00
Jan-07,2166553.00
Feb-07,2286100.00
Mar-07,2163164.00
Apr-07,2176854.00
May-07,2202343.00
Jun-07,2034354.00
Jul-07,2455224.00
Aug-07,2758337.00
Sep-07,2120835.00
Oct-07,2568040.00
Nov-07,2448135.00
Dec-07,2789354.00
Jan-08,2518566.00
Feb-08,2352456.00
Mar-08,2404499.00
Apr-08,2419911.00
May-08,2342146.00
Jun-08,2147926.00
Jul-08,2709375.00
Aug-08,2679092.00
Sep-08,2194840.00
Oct-08,2532740.00
Nov-08,2421457.00
Dec-08,2783608.00
Jan-09,2796099.00
Feb-09,2162325.00
Mar-09,2445289.00
Apr-09,2419911.00
May-09,2027572.00
Jun-09,1826004.00
Jul-09,2378298.00
Aug-09,2834178.00
Sep-09,2250718.00
Oct-09,2761945.00
Nov-09,2606085.00
Dec-09,3062651.00
Jan-10,2960319.00
Feb-10,2866053.00
Mar-10,2798316.00
Apr-10,2796311.00
May-10,2815295.00
Jun-10,2619722.00
Jul-10,3136794.00
Aug-10,3455033.00
Sep-10,2728107.00
Oct-10,3258537.00
Nov-10,3052390.00
Dec-10,3543454.00
Jan-11,3598030.00
Feb-11,2923070.00
Mar-11,3186871.00
Apr-11,3357960.00
May-11,3230028.00
Jun-11,3035222.00
Jul-11,3839388.00
Aug-11,4065761.00
Sep-11,3187091.00
Oct-11,3794076.00
Nov-11,3552733.00
Dec-11,4151080.00
Jan-12,4142042.00
Feb-12,3371202.00
Mar-12,3709484.00
Apr-12,3840180.00
May-12,3638934.00
Jun-12,3620912.00
Jul-12,4369786.00
Aug-12,4898843.00
Sep-12,3785018.00
Oct-12,4243787.00
Nov-12,4216937.00
Dec-12,4777988.00
Jan-13,4632926.00
Feb-13,4022120.00
Mar-13,4087286.00
Apr-13,4279889.00
May-13,4142301.00
Jun-13,4201331.00
Jul-13,4831521.00
Aug-13,5358087.00
Sep-13,4309304.00
Oct-13,4632034.00
Nov-13,4579681.00
Dec-13,5222324.00
Jan-14,5455371.00
Feb-14,4417376.00
Mar-14,4825234.00
Apr-14,4747960.00
May-14,4590579.00
Jun-14,4492695.00
Jul-14,5373518.00
Aug-14,6009577.00
Sep-14,4746782.00
Oct-14,5213702.00
Nov-14,5299680.00
Dec-14,5666362.00
Jan-15,5609698.00
Feb-15,5405689.00
Mar-15,4405298.00
Apr-15,4789112.00
May-15,4756215.00
Jun-15,4361228.00
Jul-15,4923431.00
Aug-15,5614852.00
Sep-15,4558800.00
Oct-15,5073494.00
Nov-15,4748715.00
Dec-15,5061064.00
Jan-16,5225578.00
Feb-16,4295731.00
Mar-16,4213801.00
Apr-16,4686316.00
May-16,4453118.00
Jun-16,4285730.00
Jul-16,5049022.00
Aug-16,5086496.00
Sep-16,4422441.00
Oct-16,4953705.00
Nov-16,4646938.00
Dec-16,5336027.00
Jan-17,5475176.00
Feb-17,4181417.00
Mar-17,4586186.00
Apr-17,4775834.00
May-17,4587014.00
Jun-17,4203256.00
Jul-17,5167700.00
Aug-17,5023433.00
Sep-17,4635161.00
Oct-17,5278677.00
Nov-17,4971119.00
Dec-17,5587184.00
Jan-18,5333562.00
Feb-18,5280971.00
Mar-18,4995122.00
Apr-18,5301602.00
May-18,4953003.00
Jun-18,4741779.00
Jul-18,5461222.00
Aug-18,5895951.00
Sep-18,4718536.00
Oct-18,5884512.00
Nov-18,5995027.00
Dec-18,6586268.00
Jan-19,6784406.00
Feb-19,5589628.00
Mar-19,5860346.00
Apr-19,5577201.00
May-19,5916541.00
Jun-19,5143734.00
Jul-19,5196969.00
Aug-19,3590571.00
Sep-19,3104049.00
Oct-19,3311571.00
Nov-19,2646127.00
Dec-19,3191466.00
Jan-20,3207802.00
Feb-20,199123.00
Mar-20,82285.00
Apr-20,4125.00
May-20,8139.00
Jun-20,14606.00
Jul-20,20568.00
Aug-20,4449.00
Sep-20,9132.00
Oct-20,7817.00
Nov-20,5962.00
Dec-20,4867.00
Jan-21,4368.00
Feb-21,5495.00
Mar-21,6675.00
Apr-21,5706.00
May-21,5305.00
Jun-21,6200.00
Jul-21,8666.00
Aug-21,10811.00
Sep-21,9879.00
Oct-21,9353.00
Nov-21,9492.00
Dec-21,9448.00
Jan-22,7064.00
Feb-22,2626.00
Mar-22,1800.00
Apr-22,4692.00
May-22,18710.00
Jun-22,41112.00
Jul-22,48048.00
Aug-22,59610.00
Sep-22,66037.00
Oct-22,80524.00
Nov-22,113763.00
Dec-22,160578.00
Jan-23,498689.00
Feb-23,1461969.00
Mar-23,2454093.00
Apr-23,2892256.00
May-23,2828384.00
Jun-23,2748488.00
Jul-23,3588530.00
Aug-23,4077746.00
Sep-23,2771826.00
Oct-23,3458778.00
Nov-23,3288915.00
Dec-23,3929986.00